Posted by baf,http://www.mobileread.com/forums/showpost.php?p=3263428&postcount=349
,,
Property types,,
id,name java,name c
211,ContentHasSlideShow,has_slideshow
212,TOC,toc
213,Scrubbers,scrubbers
214,Thumbnails,thumbnails
215,Orientation,orientation
216,BindingDirection,binding_direction
217,SupportPortrait,support_portrait
218,SupportLandscape,support_landscape
219,IssueDate,issue_date
220,BindingDirectionLeft,binding_direction_left
221,BindingDirectionRight,binding_direction_right
222,Author,author
223,ISBN,ISBN
224,ASIN,ASIN
225,isTTSEnabled,is_TTS_enabled
226,DateCreated,date_created
227,ISBN_10,ISBN-10
228,ISBN_13,ISBN-13
229,MHID,MHID
230,WideDimension,target_WideDimension
231,NarrowDimension,target_NarrowDimension
232,Publisher,publisher
233,CoverPage,cover_page
234,Illustrator,illustrator
235,NavigationType,nav_type
236,Landmarks,landmarks
237,PageList,page_list
238,LandmarkType,landmark_type
239,NavContainerName,nav_container_name
240,NavUnitName,nav_unit_name
241,Representation,representation
242,Designation,designation
243,Enumeration,enumeration
244,Label,label
245,Icon,icon
246,TargetPosition,target_position
247,Entries,entries
248,EntrySet,entry_set
249,Path,path
250,ShapeList,shape_list
251,CDEContentType,cde_content_type
252,ContainerList,container_list
253,EntityDependencies,entity_dependencies
254,MandatoryDependencies,mandatory_dependencies
255,OptionalDependencies,optional_dependencies
256,AmazonDigitalBook,AmazonDigitalBook
257,Inherit,inherit
258,Metadata,metadata
259,Storyline,storyline
260,Section,section
261,StyleGroup,style_group
262,Font,font
263,Gradient,gradient
264,PositionMap,position_map
265,PositionIDMap,position_id_map
266,Anchor,anchor
267,SectionMetadata,section_metadata
268,HyphenDictionary,hyphen_dictionary
269,Text,text
270,Container,container
271,Image,image
272,KVG,kvg
273,Shape,shape
274,Plugin,plugin
275,Knockout,knockout
276,List,list
277,ListItem,listitem
278,Table,table
279,TableRow,table_row
280,Sidebar,sidebar
281,Footnote,footnote
282,Figure,figure
283,Inline,inline
284,FormatPNG,png
285,FormatJPG,jpg
286,FormatGIF,gif
287,FormatPlugin,pobject
288,Cnd_LocalPageNumber,localPage
289,Cnd_HasContent,hasContent
290,Cnd_ParagraphMark,paragraphMark
291,Cnd_Or,or
292,Cnd_And,and
293,Cnd_Not,not
294,Cnd_EQ,Err:510
295,Cnd_NEQ,!==
296,Cnd_GT,>=
297,Cnd_GTE,>==
298,Cnd_LT,<=
299,Cnd_LTE,<==
300,Cnd_HasColor,hasColor
301,Cnd_HasVideo,hasVideo
302,Cnd_ScreenPixelWidth,screenPixelWidth
303,Cnd_ScreenPixelHeight,screenPixelHeight
304,Cnd_ScreenActualWidth,screenActualWidth
305,Cnd_ScreenActualHeight,screenActualHeight
306,Unit,unit
307,Value,value
308,Unit_Em,em
309,Unit_Ex,ex
310,Unit_LH,lh
311,Unit_VW,vw
312,Unit_VH,vh
313,Unit_VMin,vmin
314,Unit_Percent,percent
315,Unit_Centimeter,cm
316,Unit_Millimeter,mm
317,Unit_Inch,in
318,Unit_Point,pt
319,Unit_Pixel,px
320,Center,center
321,Justify,justify
322,Horizontal,horizontal
323,Vertical,vertical
324,FixedFit,fixed
325,Overflow,overflow
326,ScaleFit,scale_fit
327,Radial,radial
328,Solid,solid
329,Double,double
330,Dashed,dashed
331,Dotted,dotted
332,ThickThin,thick_thin
333,ThinThick,thin_thick
334,Groove,groove
335,Ridge,ridge
336,Inset,inset
337,Outset,outset
338,NonZero,non_zero
339,EvenOdd,even_odd
340,Disc,disc
341,Square,square
342,Circle,circle
343,Numeric,numeric
344,RomanLower,roman_lower
345,RomanUpper,roman_upper
346,AlphaLower,alpha_lower
347,AlphaUpper,alpha_upper
348,Null,null
349,None,none
350,Normal,normal
351,Default,default
352,Always,always
353,Avoid,avoid
354,Column,column
355,Thin,thin
356,UltraLight,ultra_light
357,Light,light
358,Book,book
359,Medium,medium
360,SemiBold,semi_bold
361,Bold,bold
362,UltraBold,ultra_bold
363,Heavy,heavy
364,UltraHeavy,ultra_heavy
365,Condensed,condensed
366,SemiCondensed,semi_condensed
367,SemiExpanded,semi_expanded
368,Expanded,expanded
369,SmallCaps,small_caps
370,Superscript,superscript
371,Subscript,subscript
372,Uppercase,uppercase
373,Lowercase,lowercase
374,Titlecase,titlecase
375,RightToLeft,rtl
376,LeftToRight,ltr
377,ContentBounds,content_bounds
378,BorderBounds,border_bounds
379,PaddingBounds,padding_bounds
380,MarginBounds,margin_bounds
381,Oblique,oblique
382,Italic,italic
383,Auto,auto
384,Manual,manual
385,Portrait,portrait
386,Landscape,landscape
387,PreviewImages,preview_images
388,OverlayResource,overlay_resource
389,BookNavigation,book_navigation
390,SectionNavigation,section_navigation
391,NavigationContainer,nav_container
392,NavigationContainers,nav_containers
393,NavigationUnit,nav_unit
394,ConditionalNavigationUnit,conditional_nav_group_unit
395,ResourcePath,resource_path
396,SRL,srl
397,TitlePage,titlepage
398,Acknowledgements,acknowledgements
399,Preface,preface
400,LOI,loi
401,LOT,lot
402,Bibliography,bibliography
403,Index,index
404,Glossary,glossary
405,Frontmatter,frontmatter
406,Bodymatter,bodymatter
407,Backmatter,backmatter
408,ERL,erl
409,ContainerId,bcContId
410,CompressionType,bcComprType
411,DRMScheme,bcDRMScheme
412,ChunkSize,bcChunkSize
413,IndexTabOffset,bcIndexTabOffset
414,IndexTabLength,bcIndexTabLength
415,DocSymOffset,bcDocSymbolOffset
416,DocSymLength,bcDocSymbolLength
417,RawMedia,bcRawMedia
418,RawFont,bcRawFont
419,ContainerEntityMap,container_entity_map
420,FormatPBM,pbm
421,Both,both
422,ResourceWidth,resource_width
423,ResourceHeight,resource_height
424,CoverImage,cover_image
425,PageProgressionDirection,page_progression_direction
426,Activate,activate
427,Ordinal,ordinal
428,Action,action
429,BackdropStyle,backdrop_style
430,Hide,hide
431,Show,show
432,Blank,blank
433,OrientationLock,orientation_lock
434,VirtualPanel,virtual_panel
435,AutoCrop,auto_crop
436,Selection,selection
437,PageSpread,page_spread
438,FacingPage,facing_page
439,ZoomTarget,zoom_target
440,Popup,popup
441,Enabled,enabled
442,Disabled,disabled
443,ZoomPanel,zoom_panel
444,PopupText_DEPRECATED,popup_text
445,TextVerticalAnchor,text_vert_anchor
446,TextHorizontalAnchor,text_hori_anchor
447,TextTop,text_top
448,TextBaseline,text_baseline
449,TextBottom,text_bottom
450,TextStart,text_start
451,TextMiddle,text_middle
452,TextEnd,text_end
453,Caption,caption
454,Body,body
455,Footer,footer
456,BorderSpacingVertical,border_spacing_vertical
457,BorderSpacingHorizontal,border_spacing_horizontal
458,HideEmptyCells,hide_empty_cells
459,BorderRadiusTopLeft,border_radius_top_left
460,BorderRadiusTopRight,border_radius_top_right
461,BorderRadiusBottomLeft,border_radius_bottom_left
462,BorderRadiusBottomRight,border_radius_bottom_right
463,DocFonts,PRIVATE_doc_fonts
464,VolumeLabel,volume_label
465,ParentAsin,parent_asin
466,AssetId,asset_id
467,RevisionId,revision_id
468,ZoomIn,zoom_in
469,ZoomOut,zoom_out
470,BottomToTop,btt
471,TopToBottom,ttb
472,Force,force
473,Scale,scale
474,Source,source
475,FitText,fit_text
476,Clip,clip
477,SpacingPercentBase,spacing_percent_base
478,FitWidth,fit_width
479,BackgroundImage,background_image
480,BackgroundPositionX,background_positionx
481,BackgroundPositionY,background_positiony
482,BackgroundSizeX,background_sizex
483,BackgroundSizeY,background_sizey
484,BackgroundRepeat,background_repeat
485,RepeatX,repeat_x
486,RepeatY,repeat_y
487,NoRepeat,no_repeat
488,Relative,relative
489,Viewport,viewport
490,BookMetadata,book_metadata
491,CategorisedMetadata,categorised_metadata
492,Key,key
493,Priority,priority
494,Refines,refines
495,Category,category
496,Shadow,shadows
497,TextShadow,text_shadows
498,Color,color
499,HorizontalOffset,horizontal_offset
500,VerticalOffset,vertical_offset
501,Blur,blur
502,Spread,spread
503,ListStyleImage,list_style_image
504,CustomViewer,custom_viewer
505,Unit_Rem,rem
506,Unit_Ch,ch
507,Unit_VMax,vmax
508,Unit_Gridlines,gridlines
509,ParameterList,parameter_list
510,SetParameters,set_parameters
511,HangPunctuation,hang_punctuation
512,Layouts,layouts
513,LayoutName,layout_name
514,GridSystem,grid_system
515,ComponentLayout,component_layout
516,Cnd_Plus,+
517,Cnd_Minus,-
518,Cnd_Times,*
519,Cnd_Divide,/
520,AsSymbol,asSymbol
521,AsString,asString
522,AsNumber,asNumber
523,AsList,asList
524,AsStructure,asStructure
525,Cnd_IsLandscape,isLandscape
526,Cnd_IsPortrait,isPortrait
527,Cnd_IsFirstPage,isFirstPage
528,TextBackgroundImage,text_background_image
529,StrokeLineJoin,stroke_linejoin
530,StrokeMiterLimit,stroke_miterlimit
531,StrokeDashArray,stroke_dasharray
532,StrokeDashOffset,stroke_dashoffset
533,Round,round
534,Butt,butt
535,Miter,miter
536,Bevel,bevel
537,Component,component
538,DocumentData,document_data
539,ComponentName,component_name
540,Salience,salience
541,BorderRadius,border_radius
542,ClipPathList,clip_path_list
543,ClipPath,clip_path
544,ClipRule,clip_rule
545,ClipPathIndex,clip_path_index
546,SizingBounds,sizing_bounds
547,BackgroundOrigin,background_origin
548,FormatJPEGXR,jxr
549,TransformOrigin,transform_origin
550,LocationMap,location_map
551,ListStylePosition,list_style_position
552,Inside,inside
553,Outside,outside
554,Overline,overline
555,OverlineColor,overline_color
556,OverlineWeight,overline_weight
557,Horizontal_TB,horizontal_tb
558,Vertical_LR,vertical_lr
559,Vertical_RL,vertical_rl
560,WritingMode,writing_mode
561,AllSmallCaps,all_small_caps
562,Ligatures,ligatures
563,Kerning,kerning
564,PageIndex,page_index
565,FormatPDF,pdf
566,TextOverflow,text_overflow
567,Ellipsis,ellipsis
568,TextClip,text_clip
569,WordBreak,word_break
570,BreakAll,break_all
571,Kicker,kicker
572,ArticleID,article_id
573,All,all
574,Browse,browse
575,NavVisibility,nav_visibility
576,LinkVisited,link_visited_style
577,LinkUnvisited,link_unvisited_style
578,NbSp_Mode_DEPRECATED,nbsp_mode
579,Space,space
580,BoxAlignment,box_align
581,PanZoom,pan_zoom
582,LetterspacingLeft,letterspacing_left
583,GlyphTransform,glyph_transform
584,AltText,alt_text
585,ContentFeatures,content_features
586,Namespace,namespace
587,Majorversion,major_version
588,Minorversion,minor_version
589,VersionInfo,version_info
590,Features,features
591,Exclude,exclude
592,Include,include
593,FormatCapabilities,format_capabilities
594,FCapabilitiesOffset,bcFCapabilitiesOffset
595,FCapabilitiesLength,bcFCapabilitiesLength
596,HorizontalRule,horizontal_rule
597,AuxiliaryData,auxiliary_data
598,KfxID,kfx_id
599,FormatBMP,bmp
600,FormatTIFF,tiff
601,Render,render
602,Block,block
603,LayoutType,layout_type
604,Model,model
605,WordIterationType,word_iteration_type
606,Word,word
607,ICU,icu
608,Structure,structure
609,SectionPositionIDMap,section_position_id_map
610,EIDHashEIDSectionMap,yj.eidhash_eid_section_map
611,SectionPIDCountMap,yj.section_pid_count_map
612,FormatBPG,yj.bpg
613,Authoring,yj.authoring
614,Conversion,yj.conversion
615,Classification,yj.classification
616,Display,yj.display
617,Note,yj.note
618,ChapterNote,yj.chapternote
619,EndNote,yj.endnote
620,SideNote,yj.sidenote
621,VerticalAlign,yj.vertical_align
,,
ION types,,
tid,type,name
0xfffffffe,0xfffffe00,tid_none
0xfffffffe,0xffffff00,tid_EOF
0x0,0x0,tid_NULL
0x1,0x100,tid_BOOL
0x2,0x200,tid_INT
0x4,0x400,tid_FLOAT
0x5,0x500,tid_DECIMAL
0x6,0x600,tid_TIMESTAMP
0x7,0x700,tid_SYMBOL
0x8,0x800,tid_STRING
0x9,0x900,tid_CLOB
0xa,0xa00,tid_BLOB
0xd,0xb00,tid_STRUCT
0xb,0xc00,tid_LIST
0xc,0xd00,tid_SEXP
0xfffffffe,0xf00,tid_DATAGRAM
